label,country,.geo
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.12019954734104,41.79546606658692]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.25264781447507,40.07698892806627]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.43879703847203,41.02920312923297]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.76069834491826,41.71371937573204]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.958723627793,40.519858363137196]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.78929221664437,39.93864837431187]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.43717549667878,40.868404693375574]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.31193662322696,40.593520216434996]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.79720196542647,40.62765619723154]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.28174408111684,38.66753224728274]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.668346959428916,42.76834151928836]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.88631026732928,39.08794380025068]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[70.78859186154448,40.81181083047604]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.75156297471135,39.92247869919772]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.15236380879437,41.25378195026285]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.22907078549447,42.6138312904198]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.57192278929669,40.54950276751314]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.31031508143369,37.84916702344986]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.77437103436428,39.731137543680255]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.99805154011004,40.287194704550245]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.60785540066148,40.43900998756644]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.43732771404449,39.00529879411169]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[61.30058583067409,41.89607737840831]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.68541494982719,42.72791733150298]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.93571760795585,39.98446245380196]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.82954131565478,38.1914251466994]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.64269173655791,40.25126209318546]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.1285052164916,41.00854187769822]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.17970918768641,40.40577232205402]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[60.31243901814262,41.889789171419466]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.8861351785543,40.65999554745984]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.62205335643242,40.589028640014405]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.04533494402769,40.764200120417705]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.06759486594645,39.986259084370204]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.15041496086042,37.53026509758743]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.55215985304606,40.66987701558516]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.01766225899496,40.73904729246236]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.5956062928245,39.827257279081046]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.27488486498457,42.493457042347785]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.3997964322957,40.976202527469916]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.10352747731123,40.22700758051423]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.36079582611936,40.043751262553855]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[66.53147573010206,39.08255390854596]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.7785353046442,40.260245246026656]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.1612176156791,40.57914717188908]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[69.48333975371881,41.50890349095279]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.31695346597247,39.05111287360178]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.51423265092882,37.67399554304655]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.23665322813589,37.51319710718916]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.70592398399623,39.20202984133386]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.74203168413598,39.95481804942602]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[59.59738005198348,43.004598439011794]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[65.10315442835203,39.47332105713796]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.15273685775357,39.81737581095573]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.36241736791263,39.486795786399746]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[64.86150761692387,40.19556654557005]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[68.0613066589576,39.99164897607492]}"
0,Uzbekistan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[67.93554251918087,40.40217906091754]}"
